StudentID,Name,AcademicInterest,ExtracurricularActivities,Skillset1,Skillset2,Skillset3,Skillset4,Skillset5,Location,YearOfStudy,Major,GPA,Language1,Language2,Language3,Language4,Language5,ResearchInterests,Attendance,SkillCount,LanguageCount,CompositeScore
1,Aaron Jordan,Psychology,Debate Club,Problem Solving,Unknown,Unknown,Unknown,Unknown,New York,Freshman,Psychology,3.27,Chinese,Japanese,Spanish,German,French,Biomedical Engineering,0.53,1,5,1.9
2,Kevin Smith,Psychology,Debate Club,Leadership,Problem Solving,Public Speaking,Data Analysis,Programming,Boston,Graduate,Physics,3.17,French,English,Chinese,Spanish,Japanese,Urban Planning,0.37,5,5,1.77
3,William May,History,Volunteer Group,Data Analysis,Leadership,Public Speaking,Artistic,Problem Solving,Chicago,Junior,Biology,2.09,Spanish,Japanese,German,French,Unknown,Nanotechnology,0.25,5,4,1.17
4,Valerie Miranda,Computer Science,Volunteer Group,Public Speaking,Data Analysis,Problem Solving,Unknown,Unknown,Chicago,Graduate,Biology,2.56,Japanese,Chinese,Spanish,French,Unknown,Space Exploration,0.14,3,4,1.35
5,Samantha Hill,Computer Science,Sports Team,Data Analysis,Unknown,Unknown,Unknown,Unknown,Chicago,Graduate,Computer Science,2.01,English,Unknown,Unknown,Unknown,Unknown,Climate Change,0.15,1,1,1.08
6,Danielle Townsend,Biology,Debate Club,Public Speaking,Artistic,Unknown,Unknown,Unknown,Chicago,Junior,History,2.99,Japanese,Unknown,Unknown,Unknown,Unknown,Machine Learning,0.07,2,1,1.53
7,Jason Hale,History,Art Club,Public Speaking,Problem Solving,Data Analysis,Artistic,Unknown,New York,Senior,Psychology,3.35,Chinese,English,Spanish,German,Unknown,Cybersecurity,0.54,4,4,1.95
8,Anthony Wright,Computer Science,Volunteer Group,Programming,Public Speaking,Artistic,Leadership,Unknown,Houston,Junior,Psychology,3.64,Chinese,Japanese,Spanish,Unknown,Unknown,Environmental Sustainability,0.73,4,3,2.19
9,Jo Anderson,Mathematics,Sports Team,Leadership,Artistic,Problem Solving,Public Speaking,Programming,New York,Senior,Mathematics,2.97,German,English,Japanese,Chinese,Unknown,Bioinformatics,0.06,5,4,1.52
10,Peter Yu,Biology,Sports Team,Programming,Data Analysis,Problem Solving,Leadership,Unknown,Los Angeles,Junior,History,3.03,Chinese,German,Spanish,Unknown,Unknown,Social Sciences,0.29,4,3,1.66
