StudentID,Name,AcademicInterest,ExtracurricularActivities,Skillset 1,Skillset 2,Skillset 3,Skillset 4,Skillset 5,Location,YearOfStudy,Major,GPA,Language Known 1,Language Known 2,Language Known 3,Language Known 4,Language Known 5,ResearchInterests,Attendance
1,Aaron Jordan,Psychology,Debate Club,Problem Solving,Null,Null,Null,Null,New York,Freshman,Psychology,3.27,Chinese, Japanese, Spanish, German, French,Biomedical Engineering,53.0
2,Kevin Smith,Psychology,Debate Club,Leadership, Problem Solving, Public Speaking, Data Analysis, Programming,Boston,Graduate,Physics,3.17,French, English, Chinese, Spanish, Japanese,Urban Planning,37.0
3,William May,History,Volunteer Group,Data Analysis, Leadership, Public Speaking, Artistic, Problem Solving,Chicago,Junior,Biology,2.09,Spanish, Japanese, German, French,Null,Nanotechnology,25.0
4,Valerie Miranda,Computer Science,Volunteer Group,Public Speaking, Data Analysis, Problem Solving,Null,Null,Chicago,Graduate,Biology,2.56,Japanese, Chinese, Spanish, French,Null,Space Exploration,14.0
5,Samantha Hill,Computer Science,Sports Team,Data Analysis,Null,Null,Null,Null,Chicago,Graduate,Computer Science,2.01,English,Null,Null,Null,Null,Climate Change,15.0
6,Danielle Townsend,Biology,Debate Club,Public Speaking, Artistic,Null,Null,Null,Chicago,Junior,History,2.99,Japanese,Null,Null,Null,Null,Machine Learning,7.0
7,Jason Hale,History,Art Club,Public Speaking, Problem Solving, Data Analysis, Artistic,Null,New York,Senior,Psychology,3.35,Chinese, English, Spanish, German,Null,Cybersecurity,54.0
8,Anthony Wright,Computer Science,Volunteer Group,Programming, Public Speaking, Artistic, Leadership,Null,Houston,Junior,Psychology,3.64,Chinese, Japanese, Spanish,Null,Null,Environmental Sustainability,73.0
9,Jo Anderson,Mathematics,Sports Team,Leadership, Artistic, Problem Solving, Public Speaking, Programming,New York,Senior,Mathematics,2.97,German, English, Japanese, Chinese,Null,Bioinformatics,6.0
10,Peter Yu,Biology,Sports Team,Programming, Data Analysis, Problem Solving, Leadership,Null,Los Angeles,Junior,History,3.03,Chinese, German, Spanish,Null,Null,Social Sciences,29.0
11,Dawn Klein,Psychology,Sports Team,Programming, Leadership, Artistic, Data Analysis,Null,New York,Freshman,Psychology,3.02,German, English, Spanish, French,Null,Social Sciences,30.0
12,Laura Cook,Mathematics,Coding Club,Public Speaking, Programming, Problem Solving, Leadership,Null,San Francisco,Freshman,Biology,3.96,German,Null,Null,Null,Null,Quantum Computing,90.0
13,Olivia Marquez,Physics,Music Club,Programming, Artistic, Problem Solving,Null,Null,New York,Junior,Mathematics,2.98,English, Japanese, Chinese, Spanish, German,Machine Learning,19.0
14,Matthew Jensen,History,Sports Team,Artistic, Problem Solving, Programming,Null,Null,Boston,Freshman,Biology,2.48,Japanese,Null,Null,Null,Null,Cognitive Psychology,1.0
15,Hector Kirk,History,Music Club,Artistic, Problem Solving, Public Speaking, Data Analysis,Null,Chicago,Senior,Computer Science,2.54,German,Null,Null,Null,Null,Biomedical Engineering,12.0
16,Robert Waters,Mathematics,Debate Club,Artistic, Programming, Leadership,Null,Null,Chicago,Freshman,Computer Science,2.5,English,Null,Null,Null,Null,Cognitive Psychology,4.0
17,Donna Morales,Computer Science,Music Club,Data Analysis, Programming, Problem Solving, Public Speaking, Leadership,New York,Junior,Physics,3.0,Chinese, Japanese, English,Null,Null,Robotics,21.0
18,Alejandro Roberts,Biology,Volunteer Group,Data Analysis, Problem Solving, Public Speaking,Null,Null,Los Angeles,Sophomore,Computer Science,3.91,Japanese,Null,Null,Null,Null,Space Exploration,92.0
19,Heather Sandoval,Physics,Coding Club,Programming, Artistic, Public Speaking, Data Analysis, Leadership,New York,Freshman,Biology,2.44,English, German,Null,Null,Null,Blockchain Technology,13.0
20,Alison Castro,Physics,Debate Club,Public Speaking, Leadership, Artistic, Data Analysis, Problem Solving,Chicago,Sophomore,History,3.64,Chinese, German, Spanish, English, French,Machine Learning,76.0
21,Gary Vang,Physics,Coding Club,Programming, Public Speaking, Data Analysis, Leadership, Problem Solving,Chicago,Freshman,Mathematics,2.36,German, Chinese, French,Null,Null,Environmental Sustainability,15.0
22,Brandon Hamilton,Biology,Sports Team,Problem Solving, Data Analysis, Leadership, Artistic,Null,San Francisco,Junior,Psychology,3.8,Spanish, English,Null,Null,Null,Astrophysics,83.0
23,Jacob Smith,Psychology,Volunteer Group,Artistic, Leadership, Data Analysis, Problem Solving, Public Speaking,Los Angeles,Graduate,Mathematics,3.81,Chinese, English, German, French, Japanese,Educational Technology,92.0
24,Brandon Williams,Computer Science,Music Club,Public Speaking, Data Analysis, Artistic,Null,Null,Houston,Sophomore,Physics,3.12,Chinese, English, Japanese, French, Spanish,Climate Change,27.0
25,John Adkins,Physics,Coding Club,Data Analysis, Problem Solving, Artistic, Public Speaking, Leadership,Boston,Junior,Physics,2.79,English, Spanish, Japanese, French, Chinese,Environmental Sustainability,17.0
26,David Alvarez,Physics,Debate Club,Artistic, Problem Solving, Leadership, Programming, Data Analysis,San Francisco,Junior,Physics,2.77,Japanese, Chinese, Spanish,Null,Null,Data Science,2.0
27,Stephanie Cummings,Computer Science,Sports Team,Problem Solving, Artistic, Data Analysis, Programming, Leadership,Boston,Senior,History,3.42,English,Null,Null,Null,Null,Quantum Computing,63.0
28,Natalie Garcia,History,Volunteer Group,Programming, Data Analysis,Null,Null,Null,Chicago,Graduate,Biology,3.27,Spanish,Null,Null,Null,Null,Machine Learning,45.0
29,Neil Smith,Biology,Art Club,Data Analysis, Leadership,Null,Null,Null,Los Angeles,Junior,Psychology,2.91,Chinese,Null,Null,Null,Null,Data Science,8.0
30,Laura Peterson,Physics,Music Club,Data Analysis, Public Speaking,Null,Null,Null,Los Angeles,Senior,History,2.96,Chinese, Japanese, French, English, Spanish,Artificial Intelligence,4.0
31,Amber Rodriguez,Mathematics,Debate Club,Artistic, Programming, Public Speaking, Problem Solving, Data Analysis,San Francisco,Sophomore,Biology,2.26,English, Chinese, Spanish,Null,Null,Renewable Energy,18.0
32,Vanessa Torres,Mathematics,Volunteer Group,Problem Solving, Programming, Leadership, Data Analysis, Public Speaking,Boston,Graduate,Computer Science,3.01,Chinese, French, Spanish,Null,Null,Data Science,31.0
33,Crystal Joseph,Biology,Debate Club,Public Speaking, Programming,Null,Null,Null,Chicago,Senior,Computer Science,2.83,German, Japanese, Chinese, French,Null,Nanotechnology,19.0
34,Sandra Lopez,Psychology,Volunteer Group,Data Analysis, Programming, Public Speaking,Null,Null,New York,Sophomore,History,2.19,English, German,Null,Null,Null,Human-Computer Interaction,8.0
35,Michael Mendez,Biology,Art Club,Data Analysis,Null,Null,Null,Null,Boston,Junior,Physics,3.1,German, English, Spanish, French, Chinese,Behavioral Economics,31.0
36,Roy Clark,Mathematics,Music Club,Leadership, Programming, Problem Solving,Null,Null,Boston,Senior,Psychology,3.12,Spanish, German, Japanese, English, French,Quantum Computing,38.0
37,Ryan Martin,History,Sports Team,Data Analysis, Public Speaking, Programming, Artistic, Problem Solving,New York,Sophomore,History,3.46,German, Chinese, English, French,Null,Healthcare Management,70.0
38,Mark Tyler,Physics,Volunteer Group,Artistic, Public Speaking, Data Analysis, Leadership, Programming,Houston,Sophomore,Computer Science,3.67,German,Null,Null,Null,Null,Robotics,71.0
39,Wendy Smith,Computer Science,Sports Team,Programming, Public Speaking, Data Analysis, Problem Solving,Null,Los Angeles,Freshman,Mathematics,3.24,German,Null,Null,Null,Null,Quantum Computing,49.0
40,Anthony Schultz,Computer Science,Coding Club,Data Analysis, Leadership, Programming,Null,Null,Boston,Senior,Mathematics,2.51,English, Spanish,Null,Null,Null,Machine Learning,8.0
41,John Nguyen,Computer Science,Music Club,Programming, Artistic, Public Speaking, Leadership,Null,Boston,Senior,Psychology,2.42,English, Chinese, Spanish, French, Japanese,Quantum Computing,17.0
42,Annette Lynn,Physics,Art Club,Data Analysis, Leadership, Programming, Public Speaking, Problem Solving,Houston,Freshman,Mathematics,2.65,German,Null,Null,Null,Null,Behavioral Economics,15.0
43,Connie Bishop,History,Sports Team,Problem Solving, Data Analysis, Public Speaking, Programming, Artistic,Houston,Sophomore,Mathematics,3.77,Chinese, Spanish, English,Null,Null,Astrophysics,81.0
44,Natasha Rodriguez,Computer Science,Volunteer Group,Data Analysis, Artistic, Leadership, Programming, Problem Solving,Los Angeles,Freshman,Psychology,2.72,Spanish, Chinese, Japanese,Null,Null,Educational Technology,16.0
45,Haley Rodriguez,Biology,Sports Team,Problem Solving,Null,Null,Null,Null,Houston,Freshman,History,3.68,French, English,Null,Null,Null,Climate Change,74.0
46,Manuel Mcdonald,Computer Science,Sports Team,Artistic,Null,Null,Null,Null,Boston,Junior,Mathematics,3.12,German,Null,Null,Null,Null,Urban Planning,28.0
47,Autumn Mullen,Biology,Sports Team,Artistic, Data Analysis, Programming, Problem Solving, Leadership,Los Angeles,Sophomore,Biology,2.9,German, English,Null,Null,Null,Nanotechnology,25.0
48,Daniel Taylor,Physics,Music Club,Artistic, Programming, Problem Solving,Null,Null,San Francisco,Sophomore,History,2.11,German, Japanese,Null,Null,Null,Political Science,9.0
49,Miranda Reynolds,History,Music Club,Leadership, Public Speaking, Programming, Data Analysis, Artistic,Boston,Freshman,Psychology,3.99,English, German, Chinese, Spanish, Japanese,Space Exploration,89.0
50,Janice Mcmillan,Psychology,Sports Team,Leadership, Public Speaking,Null,Null,Null,Chicago,Senior,History,2.64,Spanish, French, Japanese, German,Null,Social Sciences,13.0
51,Andrew Scott,Computer Science,Debate Club,Data Analysis, Artistic, Leadership, Public Speaking, Problem Solving,Chicago,Senior,Computer Science,2.17,Spanish, English, French, Japanese, German,Human-Computer Interaction,13.0
52,Guy Torres,History,Sports Team,Public Speaking,Null,Null,Null,Null,Chicago,Graduate,Mathematics,2.11,French, English, Chinese, Japanese, German,Cybersecurity,1.0
53,Thomas Walton,Biology,Sports Team,Public Speaking, Leadership, Programming, Data Analysis,Null,New York,Senior,Mathematics,2.26,Japanese, Chinese,Null,Null,Null,Astrophysics,19.0
54,Mark Davis,Computer Science,Sports Team,Programming, Public Speaking,Null,Null,Null,Los Angeles,Senior,Biology,2.13,French, Japanese, German,Null,Null,Educational Technology,13.0
55,Hannah Merritt,History,Music Club,Artistic, Problem Solving, Leadership, Programming, Data Analysis,Chicago,Senior,Computer Science,3.75,English, German, Spanish, Japanese,Null,Bioinformatics,75.0
56,Debra Perry,History,Music Club,Leadership, Programming, Artistic, Public Speaking,Null,Chicago,Graduate,Mathematics,3.55,French, German,Null,Null,Null,Human-Computer Interaction,60.0
57,Michelle Bailey,Biology,Sports Team,Problem Solving, Artistic, Programming, Leadership, Public Speaking,Los Angeles,Junior,Mathematics,2.44,English, Japanese, Spanish,Null,Null,Nanotechnology,18.0
58,David Walker,Psychology,Volunteer Group,Artistic, Leadership,Null,Null,Null,Los Angeles,Senior,History,3.23,Japanese, Spanish, English, French,Null,Space Exploration,46.0
59,Pamela Jenkins,Physics,Art Club,Problem Solving, Leadership, Artistic, Programming, Public Speaking,Houston,Senior,Psychology,3.74,German, Chinese, English,Null,Null,Natural Language Processing,75.0
60,Sherri Bush,Psychology,Sports Team,Leadership, Public Speaking, Programming,Null,Null,Chicago,Junior,Biology,2.42,Japanese,Null,Null,Null,Null,Social Sciences,12.0
61,David Hull,Computer Science,Sports Team,Data Analysis,Null,Null,Null,Null,Houston,Freshman,Physics,3.62,French, Chinese, German, English,Null,Machine Learning,83.0
